Hashtag,Qtd. de posts,Curtidas médias,Engajamento médio,Visualizações (total)
inss,1,3617.0,7.5,55300
alessandrostefanutto,1,3617.0,7.5,55300
russian,1,6812.0,7.5,95600
cztv08,5,27996.2,7.4,2133000
impedimento,1,25400.0,7.3,359900
berlim,1,8176.0,7.3,157000
naturismo,1,8176.0,7.3,157000
alemanha,1,8176.0,7.3,157000
athletico,4,22337.75,7.1,753800
placastectônicas,1,32200.0,7.1,462900
venezuela,1,32200.0,7.1,462900
coberturacazétv,66,22634.969696969696,7.1,17679200
messi,5,4011.4,7.0,295600
cztv06,5,32409.6,7.0,1806400
intermiami,1,5965.0,7.0,90600
homemaranha,1,5875.0,7.0,90200
esporte,2,1562.5,7.0,81912
segurançapública,1,498.0,7.0,16800
cztv07,3,10127.666666666666,6.9,425800
cztv05,7,23090.714285714286,6.9,1918100
barça,1,16100.0,6.8,243400
ligue1nacazétv,1,4747.0,6.7,72600
cztv01,18,18559.5,6.6,4393676
mbappé,2,3410.0,6.6,106200
jaqueswagner,2,19658.0,6.6,579500
japão,3,10370.666666666666,6.5,558345
planta,1,2452.0,6.5,45000
bundesliganacazétv,2,11124.0,6.4,381300
neymar,12,8580.0,6.4,1616500
piaui,1,6005.0,6.4,99000
parnaíba,1,6005.0,6.4,99000
guaras,1,6005.0,6.4,99000
g1camposgerais,1,25700.0,6.4,477600
ww,1,2340.0,6.3,43100
manaus,2,24609.5,6.2,699600
arqueologia,1,1955.0,6.2,34100
amazônia,1,1955.0,6.2,34100
g1pop,2,94819.0,6.2,2109750
coritiba,3,22192.666666666668,6.1,1237100
pratudoquevoceimaginar,1,186900.0,6.1,3100000
volei,1,186900.0,6.1,3100000
voleiagentetorcejuntos,1,186900.0,6.1,3100000
naopodecomerbesteira,1,186900.0,6.1,3100000
ligadasnações,1,186900.0,6.1,3100000
vnl,1,186900.0,6.1,3100000
bayerndemunique,2,11524.0,6.1,451700
arte,4,1524.25,6.0,36152
cztv11,4,4473.75,6.0,330100
itanhaém,1,42300.0,6.0,720500
litoral,1,42300.0,6.0,720500
vasco,5,23277.8,5.9,1577100
corbeturacazétv,1,1682.0,5.9,30000
eua,7,4420.0,5.8,672200
embaixadaamericana,1,4270.0,5.8,85500
tarifas,1,6463.0,5.8,128300
atentado,2,2153.5,5.8,86200
leicester,1,2018.0,5.7,36000
premierleague,1,2018.0,5.7,36000
celular,1,746.0,5.7,14800
g1guiadecompras,1,746.0,5.7,14800
guiadecompras,1,746.0,5.7,14800
migração,1,105600.0,5.7,1900000
barcelona,5,6115.8,5.7,563100
exame,1,6135.0,5.7,128000
viral,1,57700.0,5.5,1100000
goleiro,1,57700.0,5.5,1100000
eleições,2,1364.0,5.5,53200
ondecomerembudapeste,1,52.0,5.4,1031
michelin,1,52.0,5.4,1031
rumour,1,52.0,5.4,1031
bahia,4,18922.25,5.4,993400
santos,5,9108.2,5.4,911400
colombia,9,2828.4444444444443,5.4,849956
planejamentocazétv,13,3802.5384615384614,5.4,839876
pf,3,1925.3333333333333,5.3,112100
fernandohaddad,2,368.0,5.1,25345
paraná,4,14688.5,5.1,1052600
brasília,1,1855.0,5.0,41200
prédiospúblicos,1,1855.0,5.0,41200
cristianoronaldo,2,2584.0,5.0,107600
alagoas,1,2529.0,5.0,57400
maceió,1,2529.0,5.0,57400
guerradoparaguai,1,4226.0,5.0,100400
violência,1,45300.0,4.9,962600
alinemineiro,1,45300.0,4.9,962600
loboguará,1,251.0,4.9,5430
zoo,1,251.0,4.9,5430
pt,4,4786.25,4.9,533600
cnnnaseleições,15,2725.6666666666665,4.9,1146288
agressão,1,9540.0,4.9,208200
g1riodejaneiro,1,9540.0,4.9,208200
influenciadora,1,9540.0,4.9,208200
solo,1,32.0,4.9,740
compostagem,1,32.0,4.9,740
haaland,1,18600.0,4.9,405600
futinter,10,8202.1,4.8,1790800
realmadrid,3,13014.333333333334,4.8,932000
joségallego,2,29179.0,4.8,935300
cnnpolítica,35,3662.3142857142857,4.7,2835159
psiquiatria,1,4537.0,4.7,105700
internação,1,4537.0,4.7,105700
fatooufake,1,4537.0,4.7,105700
fake,1,4537.0,4.7,105700
fake.,1,4537.0,4.7,105700
robertocarlos,1,4305.0,4.7,94600
áfrica,1,2289.0,4.6,52000
botsuana,1,2289.0,4.6,52000
hipopótomo,1,2289.0,4.6,52000
g1meiombiente,1,2289.0,4.6,52000
richarlison,1,2726.0,4.6,60100
basharalassad,1,2711.0,4.6,62100
síria,1,2711.0,4.6,62100
cztv12,8,31820.5,4.6,2222300
animais,3,1355.0,4.6,95430
atletismobrasil🇧🇷,1,740.0,4.6,17000
4x100m,1,740.0,4.6,17000
laliganacazétv,6,5704.333333333333,4.6,750200
carne,2,3245.0,4.6,129128
exportações,2,3245.0,4.6,129128
g1trabalhoecarreira,2,19247.5,4.5,741800
australianopen,3,1121.0,4.5,76000
tênis,3,1121.0,4.5,76000
g1meioambiente,3,10999.666666666666,4.5,489000
tecnologia,4,10666.75,4.5,876100
medicina,3,11709.0,4.5,658557
ventania,3,10239.333333333334,4.4,607100
sp,2,386.0,4.4,20130
danielperez,2,2205.0,4.4,90791
aeroporto,2,30640.0,4.4,1091000
lula,8,3435.625,4.4,767602
sul,1,38.0,4.4,940
previsão,1,38.0,4.4,940
sudeste,1,38.0,4.4,940
guerra,1,459.0,4.3,12300
tremores,1,4819.0,4.3,120300
thaisheredia,1,2608.0,4.3,66400
lua,1,14000.0,4.3,357900
nasa,1,14000.0,4.3,357900
stf,4,1559.75,4.3,156200
cnnnaseleicoes,1,3793.0,4.3,110800
gato,1,1525.0,4.2,38000
veterinário,1,1525.0,4.2,38000
ronaldinho,2,2063.0,4.2,101400
milei,1,1786.0,4.2,50000
stj,1,1714.0,4.2,43300
vulcão,1,371.0,4.2,9505
etna,1,371.0,4.2,9505
pesquisa,1,255.0,4.2,7050
feminicídio,1,255.0,4.2,7050
violênciacontramulher,1,255.0,4.2,7050
internacional,5,23350.0,4.2,2194000
danielvorcaro,1,1016.0,4.1,27800
sustentabilidade,2,20.0,4.1,978
fláviodino,1,2326.0,4.1,65600
lulinha,1,2326.0,4.1,65600
riodejaneiro,8,1862.375,4.1,390767
cbf,1,1413.0,4.1,37600
espanha,2,70350.0,4.0,3400000
mikasabrasil,2,102950.0,4.0,4067600
tamojuntonessegame,2,102950.0,4.0,4067600
bancodobrasil,2,102950.0,4.0,4067600
seleçaobrasileira,1,544.0,4.0,14500
lewandowski,2,10826.0,4.0,471800
sus,2,3199.0,4.0,140300
haddad,2,2071.5,4.0,121200
alfredogaspar,1,7713.0,3.9,220400
cnnbrasil,77,5159.623376623376,3.9,9510717
indonésia,1,1485.0,3.9,41000
brasilparalímpico,1,416.0,3.9,12200
tornado,4,7825.0,3.9,689530
tiktoknotícias,89,18149.786516853932,3.9,35134219
g1mundo,25,41721.88,3.9,24291700
colômbia,21,36578.80952380953,3.9,22491700
republicanos,1,521.0,3.9,14700
agriculturaregenerativa,3,21.666666666666668,3.9,1759
vozesdatransição,3,21.666666666666668,3.9,1759
eclipsesolar,1,1121.0,3.9,31000
baleia,1,1150.0,3.8,30800
baleiafranca,1,1150.0,3.8,30800
ovni,1,4464.0,3.8,123200
orientemédio,1,4464.0,3.8,123200
g1,110,15963.245454545455,3.8,37595819
wevertonrocha,1,419.0,3.8,12300
operaçãosemdesconto,1,419.0,3.8,12300
g1.,1,1036.0,3.8,32100
nayibbukele,1,1036.0,3.8,32100
elsalvador,1,1036.0,3.8,32100
criminalidade,1,1036.0,3.8,32100
santacatarina,2,2462.0,3.7,147900
terremoto,29,28628.0,3.7,24080400
cptm,2,3880.0,3.7,205600
guiness,1,293.0,3.7,9234
jogosolimpicos,1,2808.0,3.7,78700
dj,1,3951.0,3.7,132300
romariadomuquém,1,3951.0,3.7,132300
padre,1,3951.0,3.7,132300
namorado,1,3774.0,3.7,117100
estudante,1,3774.0,3.7,117100
ciência,6,3742.8333333333335,3.7,607500
100m,1,4147.0,3.7,116000
virgínia,1,3423.0,3.6,98300
g1local,17,6800.294117647059,3.6,2427700
drones,2,1055.5,3.6,73400
eleições2026,13,1243.6153846153845,3.6,583955
foguete,1,3467.0,3.6,101800
embaixada,1,1774.0,3.6,52800
futebolfeminino,1,485.0,3.6,14300
notícias,2,53084.0,3.6,1941000
viveros,2,3714.5,3.5,211200
brasileiros,1,2892.0,3.5,86700
cnnpolitica,7,1505.2857142857142,3.5,301002
agro,3,2163.0,3.5,129812
vinijr,2,4156.0,3.5,249000
wls,1,715.0,3.5,21300
olímpicos,1,715.0,3.5,21300
cnnpop,1,85.0,3.5,2554
tamaraklink,1,85.0,3.5,2554
bomdiainverno,1,85.0,3.5,2554
meioambiente,4,2849.0,3.5,403000
china,4,2773.5,3.5,273364
vítimas,2,5357.5,3.5,338100
taxadasblusinhas,1,1114.0,3.4,36800
inflação,1,606.0,3.4,21100
ipca,1,606.0,3.4,21100
alimentosebebidas,1,606.0,3.4,21100
ciclone,2,2509.0,3.4,129500
javiermilei,2,4311.0,3.4,213902
paris2024?,1,4711.0,3.4,139700
jogosparalímpicos,1,4711.0,3.4,139700
tornados,1,808.0,3.4,25300
previsãodotempo,1,808.0,3.4,25300
foradaordem,5,1452.8,3.4,198702
cnneleições,5,636.0,3.4,96714
elnino,1,246.0,3.4,7730
jn,8,5008.25,3.4,1184700
agriculturaorgânica,1,8.0,3.4,238
cztv09,2,2006.5,3.3,129100
plantasdecobertura,1,25.0,3.3,781
biomassa,1,25.0,3.3,781
saúdedosolo,1,25.0,3.3,781
inteligenciaartificial,1,141.0,3.3,4428
globorural,4,148.75,3.3,25533
verão,2,399.5,3.3,26100
pereira,1,5107.0,3.2,173000
transporte,2,3569.5,3.2,184600
conectividade,1,3426.0,3.2,119500
inovação,1,3426.0,3.2,119500
directtocell,1,3426.0,3.2,119500
rodadebobo,1,3298.0,3.2,107800
donaldtrump,3,1634.0,3.2,168000
frio,1,1993.0,3.2,66500
cnnvirais,2,246.0,3.2,17456
g1economia,2,2999.5,3.1,231300
piraídosul,1,1518.0,3.1,55300
brunomars,1,186.0,3.1,6876
minasgerais,3,6774.666666666667,3.1,439892
itália,2,404.5,3.1,33505
economia,4,1598.0,3.1,246555
saude,1,635.0,3.0,26100
buscas,1,3638.0,3.0,125600
vistos,1,3170.0,3.0,110000
estadosunidos,9,1856.888888888889,3.0,495946
promptcnn,2,84.5,2.9,5578
falha,1,962.0,2.9,38900
linha12safira,1,962.0,2.9,38900
riograndedosul,3,906.6666666666666,2.9,98030
geopolítica,1,27.0,2.9,965
globonews,1,27.0,2.9,965
crimes,1,1652.0,2.9,61100
festadopeaodebarretos,1,1235.0,2.9,45500
sertanejo,1,1235.0,2.9,45500
barretos,1,1235.0,2.9,45500
desafio,1,589.0,2.9,23600
ia,3,156.33333333333334,2.9,17935
racismoambiental,1,741.0,2.9,27900
fláviobolsonaro,4,4169.0,2.9,591000
g1ciência,4,1625.5,2.9,215500
paris2024,2,10904.0,2.8,1046300
cztv17,2,7002.5,2.8,491400
xangai,1,1135.0,2.8,41500
dolphin,1,1135.0,2.8,41500
golpe,1,161.0,2.8,6840
prejuízo,1,161.0,2.8,6840
falsacentralbancária,1,161.0,2.8,6840
desenrolaadimplentes,1,4885.0,2.8,194500
terezacristina,2,3754.0,2.7,293200
calor,3,332.0,2.7,38900
israel,2,549.5,2.7,41500
ciclonebomba,1,8308.0,2.7,324900
mudançasclimáticas,1,8308.0,2.7,324900
cnnnovodia,1,451.0,2.7,17900
meteoros,1,1773.0,2.7,71200
gaza,1,403.0,2.7,15600
hamas,1,403.0,2.7,15600
croácia,1,199.0,2.6,8222
cavalo,1,199.0,2.6,8222
inteligênciaartificial,1,238.0,2.6,9750
música,1,238.0,2.6,9750
montanharussa,1,56.0,2.6,2546
sixflags,1,56.0,2.6,2546
europa,3,241.33333333333334,2.6,27913
meteorologia,1,794.0,2.6,32100
jornalhoje,1,794.0,2.6,32100
tempo,1,794.0,2.6,32100
moto,1,3441.0,2.6,146400
circo,1,3441.0,2.6,146400
globodamorte,1,3441.0,2.6,146400
motociclista,1,3441.0,2.6,146400
goiás,2,2115.5,2.6,153100
londres,1,327.0,2.6,13600
inglaterra,1,327.0,2.6,13600
redemoinho,1,327.0,2.6,13600
trilhasonora,1,503.0,2.5,22800
cnnprimetime,1,261.0,2.5,11200
selic,1,261.0,2.5,11200
copom,1,261.0,2.5,11200
médico,1,782.0,2.5,32000
cirurgiaplástica,1,782.0,2.5,32000
g1distritofederal,1,782.0,2.5,32000
fachin,1,430.0,2.5,18500
magistrados,1,430.0,2.5,18500
salário,1,430.0,2.5,18500
tiktoknotícias‌,1,2521.0,2.5,126200
ronaldocaiado,1,684.0,2.5,29100
segurança,1,684.0,2.5,29100
gakiya,1,684.0,2.5,29100
exmarido,1,2918.0,2.5,138700
mariadapenha,1,2918.0,2.5,138700
mulher,1,2918.0,2.5,138700
leimariadapenha,1,2918.0,2.5,138700
eleição2026,2,720.0,2.5,63000
sinaisvitais,2,85.0,2.5,7235
anthonygarotinho,1,756.0,2.5,33900
aviação,1,423.0,2.4,18200
polícia,2,700.0,2.4,59200
washington,1,276.0,2.4,12100
metrô,1,428.0,2.4,20300
rússia,1,1077.0,2.4,46800
ucrânia,1,1077.0,2.4,46800
ceuta,1,35100.0,2.4,1500000
surfe,1,513.0,2.4,22600
praiagrande,1,513.0,2.4,22600
cachorro,1,513.0,2.4,22600
mateussimões,1,279.0,2.4,12100
saúde,5,1301.4,2.4,154064
ameaça,1,618.0,2.4,27200
g1sãopaulo,1,618.0,2.4,27200
omc,1,763.0,2.3,34200
tarifaço,1,763.0,2.3,34200
jh,2,1264.5,2.3,112400
calvície,1,80.0,2.3,3478
cabelo,1,80.0,2.3,3478
sãopaulo,15,4193.466666666666,2.3,1648231
hotsytotsy,1,28.0,2.3,1250
speakeasy,1,28.0,2.3,1250
política,3,367.0,2.3,53088
abelardodelaespriella,1,2622.0,2.3,117900
teste,1,263.0,2.3,12300
câncercolorretal,1,263.0,2.3,12300
g1saúde,3,2112.3333333333335,2.3,146829
prédios,1,29600.0,2.3,1500000
sarampo,2,764.5,2.3,91300
marrocos,2,17596.0,2.3,1504520
carro,1,1814.0,2.3,83800
motorista,1,1814.0,2.3,83800
smurfs,1,33.0,2.3,1771
parquetemático,1,33.0,2.3,1771
viladossmurfs,1,33.0,2.3,1771
fiordes,1,55.0,2.2,2613
auroraboreal,1,55.0,2.2,2613
noruega,1,55.0,2.2,2613
incêndio,2,308.5,2.2,30000
mùsica,1,30.0,2.2,1686
artistas,1,30.0,2.2,1686
agendacultural,1,30.0,2.2,1686
masp,1,30.0,2.2,1686
aodisseia,1,92.0,2.1,4520
filme,1,92.0,2.1,4520
grécia,1,92.0,2.1,4520
facçõescriminosas,1,627.0,2.1,32200
crimeorganizado,1,627.0,2.1,32200
rouboacelular,1,188.0,2.1,10600
baixadafluminense,1,188.0,2.1,10600
assaltante,1,188.0,2.1,10600
g1política,2,434.5,2.0,42100
clima,2,236.5,2.0,24900
budapeste,9,28.444444444444443,2.0,15355
riachuelo,1,19000.0,2.0,967600
bodywork,1,19000.0,2.0,967600
voleibrasil,1,19000.0,2.0,967600
pratudooquevoceimaginar,1,19000.0,2.0,967600
tiktoksports,1,19000.0,2.0,967600
vacinação,2,661.0,2.0,85500
oassunto,2,246.0,1.9,29200
natuzanery,2,246.0,1.9,29200
navio,1,438.0,1.9,24000
roma,1,438.0,1.9,24000
airforceone,2,1878.0,1.9,148600
endereçodanotícia,1,54.0,1.9,3115
mercadoimobiliário,1,54.0,1.9,3115
trump,4,1161.75,1.9,195200
mdb,1,145.0,1.8,7992
vinho,1,34.0,1.7,2241
rosewoodsãopaulo,1,34.0,1.7,2241
bordeaux,1,34.0,1.7,2241
rembrandt,1,33.0,1.7,1992
cnnviagemegastronomia,29,30.275862068965516,1.7,55997
miniaturas,1,174.0,1.7,10900
pets,1,174.0,1.7,10900
imigração,1,86.0,1.7,5311
vacina,4,297.75,1.7,59029
asias50bestbars,1,29.0,1.6,1764
coquetelaria,1,29.0,1.6,1764
temperatura,1,197.0,1.6,12800
senado,1,185.0,1.6,13000
câmaradosdeputados,1,185.0,1.6,13000
congresso,1,185.0,1.6,13000
hungria,8,25.5,1.6,14324
europacentral,6,27.0,1.6,11610
g1em1minuto,1,1943.0,1.5,134600
bemestar,1,894.0,1.5,65200
exposição,2,21.0,1.5,2871
sp2b,1,168.0,1.5,12500
globo,1,168.0,1.5,12500
comunicação,1,168.0,1.5,12500
negócios,1,168.0,1.5,12500
debate,1,568.0,1.5,41000
aparelho,1,280.0,1.4,20800
evento,1,18.0,1.4,1274
agrishow,1,18.0,1.4,1274
jornalismo,1,18.0,1.4,1274
visto,1,54.0,1.4,4469
ondecomernorj,1,23.0,1.3,1855
restaurantesrj,1,23.0,1.3,1855
dicasdebudapeste,2,19.0,1.3,3077
restaurantes,1,17.0,1.3,1436
gastronomiafrancesa,1,17.0,1.3,1436
curitiba,1,17.0,1.3,1436
frança,1,17.0,1.3,1436
gastronomia,3,22.0,1.3,5083
dicasdeviagem,1,22.0,1.3,1763
astronomia,1,141.0,1.3,11500
estrela,1,141.0,1.3,11500
museus,1,20.0,1.3,1581
catedral,1,3356.0,1.3,277100
museu,1,9.0,1.3,879
joanmiró,1,9.0,1.3,879
criança,1,128.0,1.2,12400
anvisa,1,202.0,1.2,18600
medicamentos,1,202.0,1.2,18600
chocolate,1,19.0,1.2,1629
cacau,1,19.0,1.2,1629
beantobar,1,19.0,1.2,1629
braseirobombom,1,21.0,1.2,2260
rômulomorente,1,21.0,1.2,2260
churrasco,1,21.0,1.2,2260
viagem,2,30.0,1.0,5613
turquia,1,17.0,1.0,1655
cháturco,1,17.0,1.0,1655
rize,1,17.0,1.0,1655
ondeoschefscomem,1,14.0,1.0,1464
valdocruz,1,136.0,0.8,17100
mercadodabola,1,1109.0,0.8,147400
endrick,1,1109.0,0.8,147400
uruguai,1,6.0,0.7,1144
turismodeluxo,1,6.0,0.7,1144
puntadeleste,1,6.0,0.7,1144
diainternacionaldacerveja,1,7.0,0.7,1154
cerveja,1,7.0,0.7,1154
cervejaartesanal,1,7.0,0.7,1154
tailândia,1,5.0,0.6,979
culináriatailandesa,1,5.0,0.6,979
delivery,1,5.0,0.6,979
oms,1,0.0,0.0,229
